"Группа";"Дата";"День";"Пара";"Занятия"
"ТОиРА-1702";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"ТОиРА-1702";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ТОиРА-1703п";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"-"
"ТОиРА-1703п";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"биология — вся группа, Никонова Антонина Олеговна, Кривоусова"
"ТОиРА-1703п";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"обществознание — вся группа, Цимфер Татьяна Ивановна, Кривоусова"
"ТОиРА-1703п";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"информатика — 2 п/г, Логинова Ксения Ивановна, Кривоусова"
"ТОиРА-1703п";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"-"
"ТОиРА-1703п";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"ТОиРА-1703п";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"ТОиРА-1703п";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"иностранный язык — 1 п/г, Давыдова Валентина Алексеевна, Лесная | иностранный язык — 2 п/г, Новосёлова Светлана Юрьевна, Лесная"
"ТОиРА-1703п";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"математика — вся группа, Журавский Константин Сергеевич, Лесная"
"ТОиРА-1703п";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"математика — вся группа, Журавский Константин Сергеевич, Лесная"
"ТОиРА-1703п";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"-"
"ТОиРА-1703п";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"ТОиРА-1703п";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"ТОиРА-1703п";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"ТОиРА-1703п";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"литература — вся группа, Кибардина Татьяна Леонидовна, Кривоусова"
"ТОиРА-1703п";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"математика — вся группа, Журавский Константин Сергеевич, Кривоусова"
"ТОиРА-1703п";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"физика — вся группа, Силенок Марина Юрьевна, Кривоусова"
"ТОиРА-1703п";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"информатика — 1 п/г, Логинова Ксения Ивановна, Кривоусова"
"ТОиРА-1703п";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"-"
"ТОиРА-1703п";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"ТОиРА-1703п";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ТИК-212";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"МДК.01.03 Выполнение простых и сложных видов окрашивания волос — вся группа, Дорохова Евгения Владимировна, Кривоусова"
